Bande;CP;Peuplement;Travail_sol_J90;Ajout_phyto_30J;Ajout_ferti_30J;Temp_quali;Pluie_quali;year;Saison
acs;ble;ble;Trav_Sol_False;Phyto_False;Ferti_True;Temp_moy;Pluie_sup;y_18;printemps
pn;ble;ble;Trav_Sol_False;Phyto_False;Ferti_True;Temp_moy;Pluie_sup;y_18;printemps
elev;ble;ble;Trav_Sol_False;Phyto_False;Ferti_True;Temp_moy;Pluie_sup;y_18;printemps
ref;ble;ble;Trav_Sol_False;Phyto_False;Ferti_True;Temp_moy;Pluie_sup;y_18;printemps
acs;ble;ble;Trav_Sol_False;Phyto_False;Ferti_True;Temp_moy;Pluie_inf;y_18;printemps
pn;ble;ble;Trav_Sol_False;Phyto_False;Ferti_True;Temp_moy;Pluie_inf;y_18;printemps
bi;ble;ble;Trav_Sol_False;Phyto_False;Ferti_True;Temp_moy;Pluie_inf;y_18;printemps
bio;ble;ble;Trav_Sol_False;Phyto_False;Ferti_True;Temp_moy;Pluie_inf;y_18;printemps
elev;ble;ble;Trav_Sol_False;Phyto_False;Ferti_True;Temp_moy;Pluie_inf;y_18;printemps
ref;ble;ble;Trav_Sol_False;Phyto_False;Ferti_True;Temp_moy;Pluie_inf;y_18;printemps
acs;ble;ble;Trav_Sol_False;Phyto_False;Ferti_True;Temp_moy;Pluie_sup;y_18;printemps
pn;ble;ble;Trav_Sol_False;Phyto_False;Ferti_True;Temp_moy;Pluie_sup;y_18;printemps
bi;ble;ble;Trav_Sol_False;Phyto_False;Ferti_True;Temp_moy;Pluie_sup;y_18;printemps
bio;ble;ble;Trav_Sol_False;Phyto_False;Ferti_True;Temp_moy;Pluie_sup;y_18;printemps
elev;ble;ble;Trav_Sol_False;Phyto_False;Ferti_True;Temp_moy;Pluie_sup;y_18;printemps
ref;ble;ble;Trav_Sol_False;Phyto_False;Ferti_True;Temp_moy;Pluie_sup;y_18;printemps
pn;ble;ble;Trav_Sol_False;Phyto_True;Ferti_True;Temp_moy;Pluie_absence;y_18;printemps
bi;ble;ble;Trav_Sol_False;Phyto_False;Ferti_True;Temp_moy;Pluie_absence;y_18;printemps
bio;ble;ble;Trav_Sol_False;Phyto_False;Ferti_False;Temp_moy;Pluie_absence;y_18;printemps
elev;ble;ble;Trav_Sol_False;Phyto_True;Ferti_True;Temp_moy;Pluie_absence;y_18;printemps
ref;ble;ble;Trav_Sol_False;Phyto_True;Ferti_True;Temp_moy;Pluie_absence;y_18;printemps
pn;ble;ble;Trav_Sol_False;Phyto_True;Ferti_True;Temp_moy;Pluie_sup;y_18;printemps
elev;escourgeon;sol_nu;Trav_Sol_False;Phyto_False;Ferti_True;Temp_moy;Pluie_inf;y_18;automne
elev;escourgeon;escourgeon;Trav_Sol_True;Phyto_True;Ferti_True;Temp_elevee;Pluie_absence;y_18;automne
bio;triticale;sol_nu;Trav_Sol_True;Phyto_False;Ferti_False;Temp_moy;Pluie_sup;y_18;automne
bio;triticale;sol_nu;Trav_Sol_True;Phyto_False;Ferti_False;Temp_basse;Pluie_absence;y_19;hiver
elev;escourgeon;escourgeon;Trav_Sol_False;Phyto_False;Ferti_True;Temp_moy;Pluie_absence;y_19;hiver
ref;orge_de_printemps;sol_nu;Trav_Sol_True;Phyto_True;Ferti_False;Temp_moy;Pluie_inf;y_19;hiver
acs;escourgeon;escourgeon;Trav_Sol_False;Phyto_False;Ferti_True;Temp_moy;Pluie_sup;y_19;hiver
pn;ble;ble;Trav_Sol_False;Phyto_False;Ferti_True;Temp_moy;Pluie_sup;y_19;hiver
bio;triticale;triticale;Trav_Sol_False;Phyto_False;Ferti_True;Temp_moy;Pluie_sup;y_19;hiver
ref;orge_de_printemps;sol_nu;Trav_Sol_True;Phyto_True;Ferti_False;Temp_moy;Pluie_sup;y_19;hiver
acs;escourgeon;escourgeon;Trav_Sol_False;Phyto_False;Ferti_True;Temp_moy;Pluie_sup;y_19;hiver
pn;ble;ble;Trav_Sol_False;Phyto_False;Ferti_True;Temp_moy;Pluie_sup;y_19;hiver
bi;orge_de_printemps;orge_de_printemps;Trav_Sol_True;Phyto_True;Ferti_True;Temp_moy;Pluie_sup;y_19;hiver
bio;triticale;triticale;Trav_Sol_False;Phyto_False;Ferti_True;Temp_moy;Pluie_sup;y_19;hiver
ref;orge_de_printemps;orge_de_printemps;Trav_Sol_True;Phyto_True;Ferti_True;Temp_moy;Pluie_sup;y_19;hiver
acs;escourgeon;escourgeon;Trav_Sol_False;Phyto_False;Ferti_True;Temp_moy;Pluie_absence;y_19;printemps
bi;orge_de_printemps;orge_de_printemps;Trav_Sol_True;Phyto_False;Ferti_True;Temp_moy;Pluie_absence;y_19;printemps
bio;triticale;triticale;Trav_Sol_False;Phyto_False;Ferti_True;Temp_moy;Pluie_absence;y_19;printemps
pn;ble;ble;Trav_Sol_False;Phyto_True;Ferti_True;Temp_moy;Pluie_inf;y_19;printemps
bi;orge_de_printemps;orge_de_printemps;Trav_Sol_True;Phyto_False;Ferti_True;Temp_moy;Pluie_inf;y_19;printemps
ref;orge_de_printemps;orge_de_printemps;Trav_Sol_True;Phyto_False;Ferti_True;Temp_moy;Pluie_inf;y_19;printemps
pn;ble;ble;Trav_Sol_False;Phyto_True;Ferti_True;Temp_moy;Pluie_sup;y_19;printemps
bio;triticale;triticale;Trav_Sol_False;Phyto_False;Ferti_False;Temp_moy;Pluie_sup;y_19;printemps
pn;ble;ble;Trav_Sol_False;Phyto_True;Ferti_True;Temp_moy;Pluie_sup;y_19;printemps
ref;orge_de_printemps;orge_de_printemps;Trav_Sol_True;Phyto_True;Ferti_True;Temp_moy;Pluie_sup;y_19;printemps
