Bande;CP;Peuplement;Travail_sol_J90;Ajout_phyto_30J;Ajout_ferti_30J;Temp_quali;Pluie_quali;year;Saison
acs;ble;ble;False;0.0;1.0;moyenne;sup a la moy;2018;printemps
pn;ble;ble;False;0.0;1.0;moyenne;sup a la moy;2018;printemps
elev;ble;ble;False;0.0;1.0;moyenne;sup a la moy;2018;printemps
ref;ble;ble;False;0.0;1.0;moyenne;sup a la moy;2018;printemps
acs;ble;ble;False;0.0;1.0;moyenne;inf a la moy;2018;printemps
pn;ble;ble;False;0.0;1.0;moyenne;inf a la moy;2018;printemps
bi;ble;ble;False;0.0;1.0;moyenne;inf a la moy;2018;printemps
bio;ble;ble;False;0.0;1.0;moyenne;inf a la moy;2018;printemps
elev;ble;ble;False;0.0;1.0;moyenne;inf a la moy;2018;printemps
ref;ble;ble;False;0.0;1.0;moyenne;inf a la moy;2018;printemps
acs;ble;ble;False;0.0;1.0;moyenne;sup a la moy;2018;printemps
pn;ble;ble;False;0.0;1.0;moyenne;sup a la moy;2018;printemps
bi;ble;ble;False;0.0;1.0;moyenne;sup a la moy;2018;printemps
bio;ble;ble;False;0.0;1.0;moyenne;sup a la moy;2018;printemps
elev;ble;ble;False;0.0;1.0;moyenne;sup a la moy;2018;printemps
ref;ble;ble;False;0.0;1.0;moyenne;sup a la moy;2018;printemps
pn;ble;ble;False;1.0;1.0;moyenne;absence;2018;printemps
bi;ble;ble;False;0.0;1.0;moyenne;absence;2018;printemps
bio;ble;ble;False;0.0;0.0;moyenne;absence;2018;printemps
elev;ble;ble;False;1.0;1.0;moyenne;absence;2018;printemps
ref;ble;ble;False;1.0;1.0;moyenne;absence;2018;printemps
pn;ble;ble;False;1.0;1.0;moyenne;sup a la moy;2018;printemps
elev;escourgeon;sol_nu;False;0.0;1.0;moyenne;inf a la moy;2018;automne
elev;escourgeon;escourgeon;True;1.0;1.0;elevee;absence;2018;automne
bio;triticale;sol_nu;True;0.0;0.0;moyenne;sup a la moy;2018;automne
bio;triticale;sol_nu;True;0.0;0.0;basse;absence;2019;hiver
elev;escourgeon;escourgeon;False;0.0;1.0;moyenne;absence;2019;hiver
ref;orge_de_printemps;sol_nu;True;1.0;0.0;moyenne;inf a la moy;2019;hiver
acs;escourgeon;escourgeon;False;0.0;1.0;moyenne;sup a la moy;2019;hiver
pn;ble;ble;False;0.0;1.0;moyenne;sup a la moy;2019;hiver
bio;triticale;triticale;False;0.0;1.0;moyenne;sup a la moy;2019;hiver
ref;orge_de_printemps;sol_nu;True;1.0;0.0;moyenne;sup a la moy;2019;hiver
acs;escourgeon;escourgeon;False;0.0;1.0;moyenne;sup a la moy;2019;hiver
pn;ble;ble;False;0.0;1.0;moyenne;sup a la moy;2019;hiver
bi;orge_de_printemps;orge_de_printemps;True;1.0;1.0;moyenne;sup a la moy;2019;hiver
bio;triticale;triticale;False;0.0;1.0;moyenne;sup a la moy;2019;hiver
ref;orge_de_printemps;orge_de_printemps;True;1.0;1.0;moyenne;sup a la moy;2019;hiver
acs;escourgeon;escourgeon;False;0.0;1.0;moyenne;absence;2019;printemps
bi;orge_de_printemps;orge_de_printemps;True;0.0;1.0;moyenne;absence;2019;printemps
bio;triticale;triticale;False;0.0;1.0;moyenne;absence;2019;printemps
pn;ble;ble;False;1.0;1.0;moyenne;inf a la moy;2019;printemps
bi;orge_de_printemps;orge_de_printemps;True;0.0;1.0;moyenne;inf a la moy;2019;printemps
