;N20;Date;Bande;soilH_H1;soilH_H2;NO3_H1;NO3_H2;NH4_H1;NH4_H2;Temp moyenne (°C) J1;Humidité moyenne (%) J1;Temp moyenne (°C) J7;Humidité moyenne (%) J7;Temp moyenne (°C) J30;Humidité moyenne (%) J30;Sum Pluie (mm) J1;Sum ETP Penman (mm) J1;Sum Pluie (mm) J7;Sum ETP Penman (mm) J7;Sum Pluie (mm) J30;Humidité max (%) J7;Humidité max (%) J30;Humidité max (%);Sum Humidité min (%) J1;Temp min J1;Sum Humidité min (%) J7;Temp min J7;Sum Humidité min (%) J30;Temp min J30;acs;bi;bio;elev;pn;ref;week;month;year;2018;2019;2020;2021;Pic
60;-1.3934989921890262;2018-06-28;acs;0.1150834826903122;0.1239201382223075;9.70448826351135;9.603074361783715;0.619208272039228;1.0862683393594097;62.0;21.4;66.85714285714286;17.97142857142857;81.0;17.906666666666663;6.5;0.0;38.4;0.0;124.60000000000002;94.0;92.14285714285714;97.3;37.0;14.1;44.142857142857146;10.614285714285714;60.3;13.126666666666669;1.0;0.0;0.0;0.0;0.0;0.0;26;6;2018;1.0;0.0;0.0;0.0;1
69;-0.4367462297706536;2018-07-11;elev;0.0707507202169125;0.0998411016949152;3.593315172791102;5.343852074139451;0.4695265159113709;0.300457546337158;73.0;17.5;64.0;21.014285714285712;70.46666666666667;19.45333333333333;3.6;0.0;36.7;0.0;149.50000000000003;91.0;89.42857142857143;92.86666666666666;53.0;11.9;41.42857142857143;14.828571428571433;48.16666666666666;13.54333333333333;0.0;0.0;0.0;1.0;0.0;0.0;28;7;2018;1.0;0.0;0.0;0.0;1
330;-0.390366269423501;2021-02-08;ref;0.2225090345895715;0.218402325348301;6.047581673306773;7.285327571172093;1.8898692729083664;1.419855507822518;86.0;-1.4;89.85714285714286;6.528571428571428;89.63333333333334;5.489999999999999;0.3;0.0;3.2;9.5;13.5;90.0;96.71428571428572;96.5;81.0;-1.8;78.14285714285714;4.542857142857143;77.9;3.3500000000000005;0.0;0.0;0.0;0.0;0.0;1.0;6;2;2021;0.0;0.0;0.0;1.0;1
71;-0.3238100167035365;2018-07-11;ref;0.0798196764783878;0.1016074959167885;3.8778775504322778;6.230485427231844;0.4179166282420752;0.2367369246962014;73.0;17.5;64.0;21.014285714285712;70.46666666666667;19.45333333333333;3.6;0.0;36.7;0.0;149.50000000000003;91.0;89.42857142857143;92.86666666666666;53.0;11.9;41.42857142857143;14.828571428571433;48.16666666666666;13.54333333333333;0.0;0.0;0.0;0.0;0.0;1.0;28;7;2018;1.0;0.0;0.0;0.0;1
233;-0.2493878934616739;2019-11-05;pn;0.2081352934674479;0.2024001613553851;1.3669354271356788;0.9145374636490072;3.321413274706868;3.785168946769503;87.0;8.9;89.0;10.757142857142856;86.46666666666667;12.363333333333332;0.7;0.0;5.7;19.5;34.599999999999994;97.0;96.85714285714286;96.6;70.0;7.5;76.14285714285714;9.042857142857144;70.16666666666667;9.936666666666666;0.0;0.0;0.0;0.0;1.0;0.0;45;11;2019;0.0;1.0;0.0;0.0;1
61;-0.2154207126338047;2018-06-28;bi;0.0972812654473554;0.1139614724394431;5.514571284634762;8.428756603164352;0.3396656226043152;0.4060729092670327;62.0;21.4;66.85714285714286;17.97142857142857;81.0;17.906666666666663;6.5;0.0;38.4;0.0;124.60000000000002;94.0;92.14285714285714;97.3;37.0;14.1;44.142857142857146;10.614285714285714;60.3;13.126666666666669;0.0;1.0;0.0;0.0;0.0;0.0;26;6;2018;1.0;0.0;0.0;0.0;1
223;-0.1567298797317361;2019-10-14;acs;0.1598068521499195;0.1365288939915806;2.465469704433498;2.343703401662051;4.08529521072797;3.4179007940904893;77.0;17.5;82.71428571428571;15.0;76.3;15.283333333333331;2.4;1.5;12.6;14.0;70.90000000000002;96.0;96.42857142857144;93.4;50.0;13.3;61.71428571428572;11.828571428571427;52.6;11.473333333333334;1.0;0.0;0.0;0.0;0.0;0.0;42;10;2019;0.0;1.0;0.0;0.0;1
68;-0.1535998207184416;2018-07-11;bio;0.076611200270293;0.1139554794520548;6.034254665203073;9.185939530389412;0.5028545554335891;0.2414464392694947;73.0;17.5;64.0;21.014285714285712;70.46666666666667;19.45333333333333;3.6;0.0;36.7;0.0;149.50000000000003;91.0;89.42857142857143;92.86666666666666;53.0;11.9;41.42857142857143;14.828571428571433;48.16666666666666;13.54333333333333;0.0;0.0;1.0;0.0;0.0;0.0;28;7;2018;1.0;0.0;0.0;0.0;1
370;-0.1448029519665392;2021-06-17;elev;0.1107569069805461;0.0893943180871447;4.8992252964426894;3.103096029277218;0.0995155138339924;0.0;82.0;21.3;69.14285714285714;20.95714285714286;70.7;16.723333333333336;4.1;13.0;37.4;22.0;141.10000000000002;97.0;94.85714285714286;93.43333333333334;60.0;18.6;41.57142857142857;14.185714285714289;45.8;10.98;0.0;0.0;0.0;1.0;0.0;0.0;24;6;2021;0.0;0.0;0.0;1.0;1
87;-0.1430025616584546;2018-09-25;elev;0.0929924628233855;0.0831567262084974;21.641177619314984;17.935023797468354;0.3208305408946283;0.4633562869198309;70.0;10.8;74.14285714285714;15.3;72.2;17.08;2.3;0.0;18.8;10.5;86.2;94.0;94.71428571428572;95.06666666666666;41.0;5.3;51.85714285714285;10.857142857142858;46.766666666666666;11.7;0.0;0.0;0.0;1.0;0.0;0.0;39;9;2018;1.0;0.0;0.0;0.0;1
