;features;rank
10;month;1
4;Ajout_ferti_30J;1
9;year;1
8;Sum_pluie_5J;1
7;Temp_moyenne_5J;1
0;Travail_sol_J60;2
15;Bande_pn;3
2;Ajout_phyto_45J;4
53;soil_h2_quali_moyenne;5
11;Bande_acs;6
12;Bande_bi;7
5;Ajout_ferti_45J;8
14;Bande_elev;9
24;Peuplement_ble;10
47;Saison_printemps;11
43;Pluie_ON_pluie;12
3;Ajout_phyto_60J;13
16;Bande_ref;14
52;soil_h2_quali_elevee;15
38;Temp_quali_moyenne;16
49;soil_h1_quali_elevee;17
41;Pluie_quali_moyenne;18
13;Bande_bio;19
17;CP_ble;20
6;Ajout_ferti_60J;21
1;Ajout_phyto_30J;22
40;Pluie_quali_elevee;23
48;soil_h1_quali_basse;24
50;soil_h1_quali_moyenne;25
42;Pluie_ON_pas_pluie;26
46;Saison_hiver;27
36;Temp_quali_basse;28
18;CP_colza;29
44;Saison_automne;30
51;soil_h2_quali_basse;31
22;CP_orge_de_printemps;32
19;CP_escourgeon;33
25;Peuplement_colza;34
39;Pluie_quali_basse;35
37;Temp_quali_elevee;36
34;Peuplement_sol_nu;37
23;CP_triticale;38
29;Peuplement_escourgeon;39
30;Peuplement_feverolle;40
45;Saison_ete;41
20;CP_feverolle;42
28;Peuplement_colza_ge._fe._le.ve._tr.;43
32;Peuplement_orge_de_printemps;44
35;Peuplement_triticale;45
27;Peuplement_colza_ge._fe._le.ve.;46
33;Peuplement_repousse_de_colza;47
26;Peuplement_colza_fenugrec_gesse;48
31;Peuplement_inter-cultures;49
21;CP_mais;50
